72.9 27.2 [73.8, 23.8] [Silica Deposit 25]
91.9 76.0 [37.0, 47.3] [Metal Deposit 25]
41.0 3.9 [40.0, 4.4] [Underwater Metal Deposit 25]
76.6 23.6 [72.8, 23.3] [Underwater Metal Deposit 25]
89.0 18.4 [90.7, 18.2] [Silica Deposit 25]
18.5 42.1 [19.2, 41.9] [Rich Metal Deposit 100]
60.3 81.8 [58.6, 81.0] [Salt Deposit 5]
9.8 60.1 [9.6, 60.9] [Crystal Deposit 25]
93.3 65.9 [37.0, 47.3] [Metal Deposit 25]
76.5 41.9 [37.0, 47.3] [Metal Deposit 25]
87.9 44.6 [89.0, 44.2] [Silica Deposit 25]
19.0 47.5 [37.0, 47.3] [Metal Deposit 25]
69.2 21.6 [37.0, 47.3] [Metal Deposit 25]
31.7 18.7 [27.2, 19.1] [Rare Flowers 5]
18.5 6.5 [37.0, 47.3] [Metal Deposit 25]
5.2 63.9 [11.2, 65.7] [Obsidian Deposit 25]
23.4 15.1 [23.2, 13.4] [Silica Deposit 25]
16.9 63.7 [15.5, 62.6] [Underwater Metal Deposit 25]
35.8 5.6 [37.0, 47.3] [Metal Deposit 25]
11.1 60.7 [9.6, 60.9] [Crystal Deposit 25]
87.8 49.6 [37.0, 47.3] [Metal Deposit 25]
29.8 53.8 [30.1, 53.5] [Obsidian Deposit 25]
11.5 75.5 [10.3, 73.1] [Silica Deposit 25]
2.7 67.8 [4.2, 70.3] [Silica Deposit 25]
26.8 14.4 [26.7, 16.6] [Rare Flowers 5]
24.1 26.9 [21.6, 27.1] [Crystal Deposit 25]
9.4 28.4 [9.8, 29.5] [Silica Deposit 25]
47.1 21.6 [50.2, 18.9] [Silica Deposit 25]
30.6 95.3 [31.3, 94.2] [Oil Rock 25]
2.6 21.6 [4.3, 18.7] [Underwater Metal Deposit 25]
61.7 80.5 [58.6, 81.0] [Salt Deposit 5]
5.7 53.3 [37.0, 47.3] [Metal Deposit 25]
71.8 29.7 [37.0, 47.3] [Metal Deposit 25]
48.9 30.6 [37.0, 47.3] [Metal Deposit 25]
7.4 76.9 [37.0, 47.3] [Metal Deposit 25]
92.8 1.1 [84.9, 1.0] [Underwater Metal Deposit 25]
30.3 71.6 [37.0, 47.3] [Metal Deposit 25]
55.5 43.4 [54.0, 40.5] [Metal Deposit 25]
10.6 96.8 [9.5, 97.3] [Crystal Deposit 25]
70.9 33.9 [73.2, 35.1] [Rare Flowers 5]
13.8 64.1 [37.0, 47.3] [Metal Deposit 25]
34.7 79.1 [35.4, 78.0] [Metal Deposit 25]
96.9 47.3 [97.6, 42.4] [Silica Deposit 25]
78.9 99.2 [37.0, 47.3] [Metal Deposit 25]
28.2 36.5 [29.1, 33.1] [Obsidian Deposit 25]
21.4 33.9 [37.0, 47.3] [Metal Deposit 25]
77.0 75.3 [76.8, 74.8] [Rich Metal Deposit 100]
17.9 33.4 [17.1, 33.7] [Underwater Metal Deposit 25]
76.2 71.3 [76.7, 70.3] [Rich Metal Deposit 100, Metal Deposit 25]
2.2 94.8 [3.5, 91.2] [Crystal Deposit 25]
46.4 56.4 [48.7, 58.1] [Obsidian Deposit 25, Metal Deposit 25]
39.1 97.1 [36.5, 97.1] [Oil Rock 25]
87.0 9.0 [89.6, 7.0] [Silica Deposit 25]
30.8 93.9 [31.3, 94.2] [Oil Rock 25]
77.6 39.8 [78.4, 39.4] [Rich Metal Deposit 100]
8.3 23.5 [8.2, 22.8] [Crystal Deposit 25]
7.2 86.4 [6.8, 86.2] [Crystal Deposit 25]
15.7 4.2 [37.0, 47.3] [Metal Deposit 25]
46.7 58.8 [48.7, 58.1] [Obsidian Deposit 25, Metal Deposit 25]
42.5 93.2 [42.2, 89.2] [Oil Rock 25]
4.0 25.9 [5.7, 28.1] [Oil Rock 25]
87.0 1.6 [84.9, 1.0] [Underwater Metal Deposit 25]
59.7 36.1 [37.0, 47.3] [Metal Deposit 25]
42.8 71.6 [43.3, 70.2] [Metal Deposit 25]
61.7 21.5 [62.0, 23.7] [Silica Deposit 25]
81.2 45.3 [78.6, 45.1] [Oil Rock 25]
69.1 41.9 [37.0, 47.3] [Metal Deposit 25]
69.1 74.7 [37.0, 47.3] [Metal Deposit 25]
73.8 89.4 [69.5, 91.3] [Silica Deposit 25]
99.1 49.4 [97.6, 42.4] [Silica Deposit 25]
98.1 85.9 [37.0, 47.3] [Metal Deposit 25]
29.2 47.8 [37.0, 47.3] [Metal Deposit 25]
58.5 78.0 [58.6, 81.0] [Salt Deposit 5]
26.0 48.2 [37.0, 47.3] [Metal Deposit 25]
12.1 50.2 [10.0, 53.5] [Underwater Metal Deposit 25]
80.8 73.4 [80.1, 73.7] [Salt Deposit 5]
52.9 56.4 [53.5, 56.5] [Salt Deposit 5]
20.7 79.7 [37.0, 47.3] [Metal Deposit 25]
4.1 93.8 [3.5, 91.2] [Crystal Deposit 25]
67.5 42.7 [67.7, 42.2] [Crystal Deposit 25]
62.8 24.9 [37.0, 47.3] [Metal Deposit 25]
9.8 37.3 [37.0, 47.3] [Metal Deposit 25]
85.6 87.4 [37.0, 47.3] [Metal Deposit 25]
35.8 56.8 [34.4, 55.3] [Obsidian Deposit 25]
73.0 18.0 [74.0, 17.8] [Obsidian Deposit 25]
46.3 66.6 [37.0, 47.3] [Metal Deposit 25]
97.5 57.3 [94.4, 57.0] [Oil Rock 25]
6.3 43.5 [37.0, 47.3] [Metal Deposit 25]
44.8 92.6 [45.5, 93.8] [Oil Rock 25]
17.8 5.8 [37.0, 47.3] [Metal Deposit 25]
83.5 47.7 [84.0, 48.3] [Metal Deposit 25]
96.6 3.2 [94.8, 9.3] [Underwater Metal Deposit 25]
56.3 20.9 [37.0, 47.3] [Metal Deposit 25]
13.5 96.0 [9.5, 97.3] [Crystal Deposit 25]
91.3 31.1 [37.0, 47.3] [Metal Deposit 25]
16.3 21.5 [15.4, 24.3] [Metal Deposit 25]
62.6 33.2 [63.0, 33.1] [Metal Deposit 25]
85.2 12.8 [88.3, 13.0] [Underwater Metal Deposit 25]
93.1 25.0 [93.1, 25.0] [Underwater Metal Deposit 25]
83.6 12.2 [88.3, 13.0] [Underwater Metal Deposit 25]
79.8 78.5 [78.1, 78.1] [Crystal Deposit 25]
61.9 91.9 [58.3, 95.0] [Silica Deposit 25]
40.1 94.7 [40.2, 93.9] [Oil Rock 25]
34.4 77.7 [35.4, 78.0] [Metal Deposit 25]
21.5 96.9 [28.3, 96.1] [Oil Rock 25]
3.1 52.4 [4.2, 70.3] [Silica Deposit 25]
94.0 51.1 [89.7, 51.0] [Silica Deposit 25]
21.5 99.9 [28.3, 96.1] [Oil Rock 25]
41.0 24.7 [40.7, 25.4] [Obsidian Deposit 25]
99.3 40.6 [97.5, 39.8] [Silica Deposit 25]
0.2 73.0 [4.2, 70.3] [Silica Deposit 25]
26.3 99.9 [28.3, 96.1] [Oil Rock 25]
58.1 73.8 [62.7, 73.9] [Salt Deposit 5]
56.7 45.5 [55.7, 50.4] [Rich Metal Deposit 100]
93.5 12.1 [37.0, 47.3] [Metal Deposit 25]
30.3 28.7 [30.8, 27.2] [Water Vein 1]
73.5 57.2 [73.5, 56.9] [Cactus 5]
23.7 62.4 [23.5, 62.0] [Obsidian Deposit 25]
53.6 61.2 [55.2, 62.2] [Rich Metal Deposit 100]
18.3 77.8 [19.9, 78.1] [Crystal Deposit 25]
99.8 52.4 [90.7, 52.4] [Oil Rock 25]
44.8 3.0 [37.0, 47.3] [Metal Deposit 25]
50.3 93.4 [37.0, 47.3] [Metal Deposit 25]
10.9 21.5 [37.0, 47.3] [Metal Deposit 25]
62.8 23.1 [37.0, 47.3] [Metal Deposit 25]
52.5 79.7 [37.0, 47.3] [Metal Deposit 25]
44.6 2.6 [37.0, 47.3] [Metal Deposit 25]
48.5 29.4 [48.3, 29.1] [Metal Deposit 25]
50.1 43.6 [37.0, 47.3] [Metal Deposit 25]
30.3 12.0 [29.0, 11.2] [Underwater Metal Deposit 25]
36.8 3.3 [37.0, 47.3] [Metal Deposit 25]
74.0 11.8 [72.9, 12.0] [Oil Rock 25]
13.2 94.0 [12.9, 90.8] [Oil Rock 25]
8.2 33.1 [8.2, 31.3] [Oil Rock 25]
78.6 70.1 [37.0, 47.3] [Metal Deposit 25]
86.6 86.1 [82.1, 80.3] [Oil Vein 50]
48.8 21.2 [50.2, 18.9] [Silica Deposit 25]
73.7 94.3 [37.0, 47.3] [Metal Deposit 25]
88.0 24.9 [88.2, 25.0] [Underwater Metal Deposit 25]
63.8 77.0 [64.2, 75.9] [Rich Metal Deposit 100]
14.7 84.0 [16.4, 83.3] [Metal Deposit 25]
10.6 94.8 [12.9, 90.8] [Oil Rock 25]
35.1 1.6 [32.6, 2.2] [Oil Rock 25]
73.6 88.2 [74.7, 86.3] [Salt Deposit 5]
58.1 27.9 [61.7, 25.4] [Silica Deposit 25]
97.1 86.5 [37.0, 47.3] [Metal Deposit 25]
89.3 47.0 [89.0, 47.8] [Oil Rock 25]
25.4 8.2 [37.0, 47.3] [Metal Deposit 25]
59.9 56.9 [60.7, 56.5] [Rich Metal Deposit 100]
25.9 28.5 [27.7, 28.9] [Crystal Deposit 25]
42.5 38.2 [42.3, 38.4] [Rare Flowers 5]
29.9 39.7 [37.0, 47.3] [Metal Deposit 25]
23.4 97.8 [24.9, 93.1] [Silica Deposit 25]
29.9 93.0 [31.3, 94.2] [Oil Rock 25]
51.9 23.0 [37.0, 47.3] [Metal Deposit 25]
67.0 63.1 [68.2, 60.2] [Water Vein 1]
61.7 75.7 [62.7, 73.9] [Salt Deposit 5]
22.2 47.3 [37.0, 47.3] [Metal Deposit 25]
66.0 16.4 [37.0, 47.3] [Metal Deposit 25]
83.0 73.5 [84.0, 73.2] [Silica Deposit 25]
60.3 44.5 [60.1, 43.3] [Metal Deposit 25]
87.4 61.4 [37.0, 47.3] [Metal Deposit 25]
26.1 8.1 [37.0, 47.3] [Metal Deposit 25]
65.1 54.6 [37.0, 47.3] [Metal Deposit 25]
21.6 42.4 [37.0, 47.3] [Metal Deposit 25]
81.8 18.8 [84.0, 20.0] [Metal Deposit 25]
59.1 63.9 [58.7, 66.7] [Salt Deposit 5]
64.2 75.4 [64.2, 75.9] [Rich Metal Deposit 100]
16.3 65.4 [15.5, 62.6] [Underwater Metal Deposit 25]
29.0 28.9 [27.7, 28.9] [Crystal Deposit 25]
2.3 26.4 [5.7, 28.1] [Oil Rock 25]
65.0 24.5 [63.4, 23.1] [Silica Deposit 25]
98.2 79.1 [37.0, 47.3] [Metal Deposit 25]
19.7 67.1 [21.9, 69.0] [Metal Deposit 25]
26.8 48.4 [26.9, 48.5] [Metal Deposit 25]
24.4 19.0 [37.0, 47.3] [Metal Deposit 25]
58.5 12.1 [55.2, 11.8] [Underwater Metal Deposit 25]
50.1 92.9 [37.0, 47.3] [Metal Deposit 25]
49.9 14.3 [52.0, 14.1] [Underwater Metal Deposit 25]
25.1 50.8 [24.1, 49.6] [Water Vein 1]
25.5 0.3 [26.8, 2.8] [Underwater Metal Deposit 25]
59.9 22.2 [61.9, 22.4] [Underwater Metal Deposit 25]
52.9 30.7 [52.7, 36.6] [Rare Flowers 5]
19.1 59.2 [37.0, 47.3] [Metal Deposit 25]
35.9 76.8 [35.4, 78.0] [Metal Deposit 25]
53.9 52.3 [37.0, 47.3] [Metal Deposit 25]
44.8 94.8 [45.5, 93.8] [Oil Rock 25]
54.8 40.8 [54.0, 40.5] [Metal Deposit 25]
32.7 25.7 [33.5, 25.8] [Rich Metal Deposit 100]
16.8 67.1 [37.0, 47.3] [Metal Deposit 25]
39.2 70.3 [40.4, 66.3] [Metal Deposit 25]
12.8 36.8 [11.6, 34.4] [Underwater Metal Deposit 25]
67.9 44.5 [67.7, 42.2] [Crystal Deposit 25]
56.3 71.5 [52.8, 71.0] [Rich Metal Deposit 100]
33.5 28.4 [33.0, 29.0] [Rich Metal Deposit 100]
97.0 58.5 [95.7, 60.6] [Oil Rock 25]
13.4 84.3 [12.2, 84.9] [Oil Rock 25]
34.4 31.2 [33.7, 30.0] [Rich Metal Deposit 100]
8.3 35.4 [9.2, 38.0] [Silica Deposit 25]
51.7 41.3 [37.0, 47.3] [Metal Deposit 25]
8.1 61.4 [8.1, 60.3] [Crystal Deposit 25]
71.2 17.2 [37.0, 47.3] [Metal Deposit 25]
86.4 93.4 [88.3, 93.4] [Underwater Metal Deposit 25]
4.9 36.9 [5.0, 32.9] [Silica Deposit 25]
95.9 59.9 [95.7, 60.6] [Oil Rock 25]
31.5 82.2 [33.2, 83.1] [Metal Deposit 25]
18.9 66.1 [37.0, 47.3] [Metal Deposit 25]
56.7 85.0 [59.2, 87.0] [Rare Flowers 5]
32.5 69.3 [32.1, 68.2] [Metal Deposit 25]
28.4 16.9 [37.0, 47.3] [Metal Deposit 25]
88.0 45.1 [89.0, 44.2] [Silica Deposit 25]
62.9 24.8 [61.7, 25.4] [Silica Deposit 25]
63.5 26.6 [37.0, 47.3] [Metal Deposit 25]
4.2 64.1 [4.2, 70.3] [Silica Deposit 25]
44.0 40.9 [42.7, 42.6] [Obsidian Deposit 25]
84.5 35.7 [83.7, 35.0] [Silica Deposit 25]
4.5 56.0 [4.2, 70.3] [Silica Deposit 25]
72.7 89.4 [69.5, 91.3] [Silica Deposit 25]
15.8 2.2 [37.0, 47.3] [Metal Deposit 25]
0.8 19.0 [4.3, 18.7] [Underwater Metal Deposit 25]
74.9 26.7 [73.8, 23.8] [Silica Deposit 25]
34.0 33.6 [33.2, 33.9] [Oil Rock 25]
62.4 97.3 [37.0, 47.3] [Metal Deposit 25]
8.5 59.9 [37.0, 47.3] [Metal Deposit 25]
64.3 71.8 [37.0, 47.3] [Metal Deposit 25]
94.4 98.7 [94.2, 96.5] [Oil Rock 25]
56.1 13.2 [37.0, 47.3] [Metal Deposit 25]
53.5 30.6 [52.7, 36.6] [Rare Flowers 5]
36.0 38.3 [35.8, 38.3] [Metal Deposit 25]
53.6 42.3 [54.0, 40.5] [Metal Deposit 25]
12.4 55.0 [37.0, 47.3] [Metal Deposit 25]
68.7 25.2 [37.0, 47.3] [Metal Deposit 25]
94.3 61.6 [93.8, 62.5] [Oil Rock 25]
42.1 79.0 [37.0, 47.3] [Metal Deposit 25]
9.0 50.4 [8.5, 51.8] [Underwater Metal Deposit 25]
13.9 36.3 [13.8, 38.7] [Obsidian Deposit 25]
71.1 84.5 [74.6, 82.8] [Rare Flowers 5]
19.0 17.8 [18.1, 18.0] [Metal Deposit 25]
59.0 93.6 [58.3, 95.0] [Silica Deposit 25]
40.6 13.2 [40.3, 10.9] [Silica Deposit 25]
9.1 63.8 [37.0, 47.3] [Metal Deposit 25]
66.4 82.2 [67.0, 77.3] [Obsidian Deposit 25]
29.9 82.5 [33.2, 83.1] [Metal Deposit 25]
29.9 64.5 [29.1, 68.7] [Metal Deposit 25]
45.0 34.2 [37.0, 47.3] [Metal Deposit 25]
37.5 91.0 [36.9, 92.0] [Oil Rock 25]
23.7 33.2 [21.7, 31.9] [Obsidian Deposit 25]
73.2 91.2 [37.0, 47.3] [Metal Deposit 25]
22.0 24.3 [22.2, 23.0] [Rare Flowers 5]
46.0 98.5 [51.6, 98.4] [Underwater Metal Deposit 25]
59.9 76.2 [62.7, 73.9] [Salt Deposit 5]
96.3 66.2 [96.6, 66.5] [Oil Rock 25]
84.9 42.4 [85.4, 44.5] [Oil Rock 25]
3.8 20.9 [4.3, 18.7] [Underwater Metal Deposit 25]
27.2 68.5 [27.4, 67.7] [Obsidian Deposit 25]
46.3 94.6 [45.5, 93.8] [Oil Rock 25]
35.8 77.4 [35.4, 78.0] [Metal Deposit 25]
44.8 98.1 [51.6, 98.4] [Underwater Metal Deposit 25]
94.0 75.6 [94.0, 75.7] [Silica Deposit 25]
90.3 20.7 [91.5, 19.9] [Underwater Metal Deposit 25]
53.9 83.3 [37.0, 47.3] [Metal Deposit 25]
91.3 66.8 [37.0, 47.3] [Metal Deposit 25]
95.3 7.0 [37.0, 47.3] [Metal Deposit 25]
97.2 68.2 [96.6, 66.5] [Oil Rock 25]
9.7 42.0 [37.0, 47.3] [Metal Deposit 25]
51.0 45.9 [37.0, 47.3] [Metal Deposit 25]
36.1 11.0 [35.2, 10.1] [Underwater Metal Deposit 25]
0.8 25.9 [5.7, 28.1] [Oil Rock 25]
23.5 22.9 [24.2, 23.0] [Crystal Deposit 25]
51.1 57.7 [48.7, 58.1] [Obsidian Deposit 25, Metal Deposit 25]
77.0 60.0 [37.0, 47.3] [Metal Deposit 25]
65.7 18.5 [37.0, 47.3] [Metal Deposit 25]
51.4 84.1 [37.0, 47.3] [Metal Deposit 25]
47.6 38.2 [47.7, 39.1] [Metal Deposit 25]
93.7 85.0 [91.0, 87.8] [Underwater Metal Deposit 25]
2.9 23.4 [5.7, 28.1] [Oil Rock 25]
97.4 83.6 [37.0, 47.3] [Metal Deposit 25]
66.7 8.9 [67.6, 8.3] [Underwater Metal Deposit 25]
26.3 37.5 [23.1, 36.9] [Rich Metal Deposit 100]
9.2 23.9 [37.0, 47.3] [Metal Deposit 25]
84.5 95.5 [84.8, 96.1] [Underwater Metal Deposit 25]
64.8 12.2 [63.2, 12.6] [Underwater Metal Deposit 25]
58.9 88.8 [59.2, 87.0] [Rare Flowers 5]
25.2 8.4 [37.0, 47.3] [Metal Deposit 25]
35.2 49.5 [35.4, 49.9] [Clay 5]
16.4 35.9 [17.1, 33.7] [Underwater Metal Deposit 25]
96.3 96.5 [95.3, 96.0] [Silica Deposit 25]
36.3 56.8 [37.0, 47.3] [Metal Deposit 25]
41.4 38.3 [37.0, 47.3] [Metal Deposit 25]
64.0 76.3 [64.2, 75.9] [Rich Metal Deposit 100]
28.0 95.2 [24.9, 93.1] [Silica Deposit 25]
62.5 74.5 [62.7, 73.9] [Salt Deposit 5]
26.9 62.3 [37.0, 47.3] [Metal Deposit 25]
91.4 15.6 [94.6, 13.2] [Underwater Metal Deposit 25]
96.5 93.1 [37.0, 47.3] [Metal Deposit 25]
10.0 63.6 [8.9, 65.2] [Crystal Deposit 25]
31.3 5.2 [37.0, 47.3] [Metal Deposit 25]
3.0 14.7 [5.2, 13.1] [Underwater Metal Deposit 25]
9.3 81.3 [4.0, 86.3] [Crystal Deposit 25]
81.8 43.1 [79.8, 43.9] [Oil Rock 25]
67.6 59.3 [68.2, 60.2] [Water Vein 1]
21.0 45.0 [20.6, 45.2] [Metal Deposit 25]
62.9 87.3 [37.0, 47.3] [Metal Deposit 25]
69.4 56.0 [68.4, 56.4] [Water Vein 1]
34.2 46.3 [34.2, 47.9] [Obsidian Deposit 25]
33.6 12.6 [37.0, 47.3] [Metal Deposit 25]
67.8 29.3 [37.0, 47.3] [Metal Deposit 25]
72.8 27.5 [73.8, 23.8] [Silica Deposit 25]
82.4 0.9 [37.0, 47.3] [Metal Deposit 25]
54.7 46.5 [55.7, 50.4] [Rich Metal Deposit 100]
91.0 52.8 [90.7, 52.4] [Oil Rock 25]
21.3 60.6 [22.4, 62.1] [Metal Deposit 25]
69.7 11.9 [69.5, 11.9] [Underwater Metal Deposit 25]
80.3 54.6 [78.9, 56.7] [Rare Flowers 5]
58.6 56.3 [57.6, 55.4] [Rich Metal Deposit 100]
92.4 82.3 [93.4, 76.4] [Oil Rock 25]
51.8 40.7 [37.0, 47.3] [Metal Deposit 25]
50.0 71.0 [52.8, 71.0] [Rich Metal Deposit 100]
81.6 38.4 [37.0, 47.3] [Metal Deposit 25]
50.4 79.5 [47.5, 78.1] [Obsidian Deposit 25, Metal Deposit 25]
91.4 60.4 [91.3, 61.7] [Oil Rock 25]
50.5 45.1 [37.0, 47.3] [Metal Deposit 25]
98.4 21.5 [96.7, 20.3] [Underwater Metal Deposit 25]
53.4 86.3 [37.0, 47.3] [Metal Deposit 25]
88.0 85.2 [82.1, 80.3] [Oil Vein 50]
17.9 48.5 [37.0, 47.3] [Metal Deposit 25]
49.5 34.8 [49.6, 36.4] [Obsidian Deposit 25]
