[2.6, 88.0] [Crystal Deposit 25]
[52.0, 14.1] [Underwater Metal Deposit 25]
[57.0, 14.1] [Underwater Metal Deposit 25]
[58.7, 14.0] [Underwater Metal Deposit 25]
[66.5, 14.2] [Underwater Metal Deposit 25]
[53.9, 14.5] [Underwater Metal Deposit 25]
[54.7, 14.5] [Silica Deposit 25]
[69.6, 14.5] [Underwater Metal Deposit 25]
[56.1, 14.6] [Silica Deposit 25]
[63.8, 14.7] [Metal Deposit 25]
[49.2, 14.8] [Silica Deposit 25]
[6.5, 15.0] [Silica Deposit 25]
[7.8, 15.0] [Underwater Metal Deposit 25]
[51.9, 15.0] [Silica Deposit 25]
[13.0, 15.1] [Underwater Metal Deposit 25]
[27.7, 15.1] [Silica Deposit 25]
[48.0, 15.1] [Silica Deposit 25]
[96.6, 15.1] [Underwater Metal Deposit 25]
[30.3, 15.2] [Oil Rock 25]
[30.4, 15.2] [Silica Deposit 25]
[47.0, 15.3] [Underwater Metal Deposit 25]
[50.6, 15.3] [Underwater Metal Deposit 25]
[69.7, 15.3] [Underwater Metal Deposit 25]
[5.3, 15.4] [Crystal Deposit 25]
[5.9, 15.7] [Underwater Metal Deposit 25]
[8.3, 16.5] [Crystal Deposit 25]
[10.1, 15.8] [Silica Deposit 25]
[28.3, 15.8] [Oil Rock 25]
[49.8, 15.6] [Black Pearls 100]
[56.6, 15.4] [Underwater Metal Deposit 25]
[52.2, 15.5] [Underwater Metal Deposit 25]
[55.4, 15.5] [Underwater Metal Deposit 25]
[61.6, 15.5] [Metal Deposit 25]
[68.2, 15.5] [Metal Deposit 25]
[39.3, 15.7] [Rare Flowers 5]
[50.4, 15.8] [Silica Deposit 25]
[58.5, 15.8] [Underwater Metal Deposit 25]
[89.6, 15.7] [Underwater Metal Deposit 25]
[54.6, 15.9] [Black Pearls 100]
[60.1, 15.9] [Underwater Metal Deposit 25]
[62.7, 15.9] [Metal Deposit 25]
[88.4, 16.0] [Underwater Metal Deposit 25]
[10.6, 16.1] [Crystal Deposit 25]
[19.1, 16.5] [Silica Deposit 25]
[21.2, 16.1] [Silica Deposit 25]
[23.0, 16.5] [Rare Flowers 5]
[28.6, 16.1] [Silica Deposit 25]
[40.8, 16.4] [Rare Flowers 5]
[48.9, 16.3] [Black Pearls 100]
[53.8, 16.1] [Silica Deposit 25]
[60.6, 16.2] [Obsidian Deposit 25]
[64.3, 16.2] [Metal Deposit 25]
[92.3, 16.2] [Underwater Metal Deposit 25]
[42.7, 16.4] [Rare Flowers 5]
[69.8, 16.4] [Underwater Metal Deposit 25]
[9.6, 16.6] [Oil Rock 25]
[10.9, 17.0] [Silica Deposit 25]
[20.6, 16.6] [Silica Deposit 25]
[26.7, 16.6] [Rare Flowers 5]
[60.4, 16.6] [Underwater Metal Deposit 25]
[73.8, 16.6] [Obsidian Deposit 25, Metal Deposit 25]
[11.7, 16.7] [Underwater Metal Deposit 25]
[14.6, 17.0] [Underwater Metal Deposit 25]
[30.4, 16.7] [Silica Deposit 25]
[37.7, 16.7] [Silica Deposit 25]
[50.4, 16.7] [Underwater Metal Deposit 25]
[56.4, 16.7] [Underwater Metal Deposit 25]
[46.8, 16.8] [Silica Deposit 25]
[61.0, 17.0] [Metal Deposit 25]
[64.0, 16.9] [Obsidian Deposit 25]
[8.1, 17.1] [Underwater Metal Deposit 25]
[18.0, 17.2] [Rich Metal Deposit 100]
[53.5, 17.2] [Underwater Metal Deposit 25]
[63.4, 17.2] [Oil Rock 25]
[4.3, 17.3] [Crystal Deposit 25]
[4.3, 18.7] [Underwater Metal Deposit 25]
[5.0, 17.6] [Underwater Metal Deposit 25]
[10.1, 17.4] [Silica Deposit 25]
[71.7, 17.3] [Underwater Metal Deposit 25]
[30.9, 17.4] [Oil Rock 25]
[49.1, 17.4] [Silica Deposit 25]
[50.4, 17.4] [Silica Deposit 25]
[6.8, 17.5] [Crystal Deposit 25]
[9.0, 17.5] [Silica Deposit 25]
[12.3, 18.3] [Silica Deposit 25]
[31.0, 17.5] [Silica Deposit 25]
[63.0, 17.5] [Metal Deposit 25]
[13.0, 17.6] [Silica Deposit 25]
[14.1, 18.3] [Underwater Metal Deposit 25]
[14.2, 17.6] [Oil Rock 25]
[16.0, 17.6] [Underwater Metal Deposit 25]
[17.4, 17.6] [Rare Flowers 5]
[18.1, 18.0] [Metal Deposit 25]
[75.2, 17.7] [Metal Deposit 25]
[20.4, 17.8] [Metal Deposit 25]
[20.4, 17.9] [Rare Flowers 5]
[24.5, 18.0] [Rare Flowers 5]
[60.8, 17.8] [Obsidian Deposit 25]
[68.4, 17.8] [Underwater Metal Deposit 25]
[74.0, 17.8] [Obsidian Deposit 25]
[79.8, 17.8] [Metal Deposit 25]
[53.4, 17.9] [Silica Deposit 25]
[55.5, 18.0] [Black Pearls 100]
[69.7, 17.9] [Underwater Metal Deposit 25]
[20.6, 18.1] [Obsidian Deposit 25]
[34.6, 18.5] [Oil Rock 25]
[45.2, 18.2] [Clay 5]
[80.0, 18.1] [Oil Vein 50]
[59.7, 18.2] [Underwater Metal Deposit 25]
[79.6, 18.2] [Sulfur Deposit 5]
[90.7, 18.2] [Silica Deposit 25]
[41.7, 18.3] [Rare Flowers 5]
[51.3, 18.3] [Black Pearls 100]
[78.1, 18.3] [Silica Deposit 25]
[78.2, 18.3] [Underwater Metal Deposit 25]
[69.1, 18.5] [Underwater Metal Deposit 25]
[11.5, 18.6] [Silica Deposit 25]
[32.0, 18.6] [Silica Deposit 25]
[34.5, 18.6] [Silica Deposit 25]
[53.6, 18.6] [Black Pearls 100]
[54.5, 18.6] [Black Pearls 100]
[76.7, 18.6] [Underwater Metal Deposit 25]
[76.9, 18.6] [Silica Deposit 25]
[4.5, 18.7] [Crystal Deposit 25]
[4.7, 45.6] [Oil Rock 25]
[4.9, 44.1] [Oil Rock 25]
[5.2, 22.9] [Underwater Metal Deposit 25]
[5.7, 28.1] [Oil Rock 25]
[21.2, 18.9] [Metal Deposit 25]
[22.6, 18.7] [Metal Deposit 25]
[22.9, 18.9] [Rich Metal Deposit 100]
[36.6, 18.7] [Rare Flowers 5]
[73.3, 18.7] [Obsidian Deposit 25]
[25.6, 18.8] [Rare Flowers 5]
[32.5, 18.9] [Oil Rock 25]
[38.2, 18.8] [Rare Flowers 5]
[50.2, 18.9] [Silica Deposit 25]
[73.3, 18.8] [Metal Deposit 25]
[66.7, 19.0] [Underwater Metal Deposit 25]
[5.8, 19.1] [Crystal Deposit 25]
[5.9, 24.1] [Silica Deposit 25]
[6.5, 23.2] [Underwater Metal Deposit 25, Oil Rock 25]
[7.2, 22.3] [Oil Rock 25]
[8.2, 19.7] [Underwater Metal Deposit 25]
[15.8, 19.1] [Underwater Metal Deposit 25]
[18.6, 19.1] [Rare Flowers 5]
[21.3, 19.1] [Rich Metal Deposit 100]
[27.2, 19.1] [Rare Flowers 5]
[57.5, 19.2] [Metal Deposit 25]
[74.4, 19.1] [Metal Deposit 25]
[75.3, 19.1] [Obsidian Deposit 25]
[75.4, 19.2] [Metal Deposit 25]
[8.4, 19.3] [Crystal Deposit 25]
[11.1, 20.8] [Underwater Metal Deposit 25]
[11.9, 19.6] [Underwater Metal Deposit 25]
[12.5, 20.1] [Silica Deposit 25]
[22.1, 19.3] [Rich Metal Deposit 100]
[51.3, 19.3] [Silica Deposit 25]
[57.5, 19.3] [Rich Metal Deposit 100]
[35.7, 19.4] [Silica Deposit 25]
[74.2, 19.4] [Obsidian Deposit 25]
[13.7, 19.5] [Underwater Metal Deposit 25]
[13.8, 20.5] [Oil Rock 25]
[14.2, 19.6] [Oil Rock 25]
[18.7, 19.7] [Metal Deposit 25]
[22.5, 19.7] [Rare Flowers 5]
[65.3, 19.7] [Underwater Metal Deposit 25]
[69.3, 19.7] [Black Pearls 100]
[79.2, 19.6] [Underwater Metal Deposit 25]
[80.2, 19.6] [Sulfur Deposit 5]
[68.4, 19.8] [Underwater Metal Deposit 25]
[70.3, 19.8] [Underwater Metal Deposit 25]
[81.0, 19.8] [Metal Deposit 25]
[28.2, 19.9] [Rare Flowers 5]
[33.7, 19.9] [Silica Deposit 25]
[69.3, 19.9] [Silica Deposit 25]
[91.5, 19.9] [Underwater Metal Deposit 25]
[33.7, 20.0] [Oil Rock 25]
[84.0, 20.0] [Metal Deposit 25]
